,candidate,pact,party,district,votes,percentage
588, IGNACIO ACHURRA DIAZ,UNIDAD,FA,14,49264,0.08548281025779841
589, NIBALDO MEZA GARFIA,UNIDAD,PDC,14,12137,0.021060102064365448
590, CHRISTIAN PINO LOPEZ,UNIDAD,PR,14,18591,0.03225907205064003
591, CAMILA MUSANTE MULLER,UNIDAD,PPD,14,28292,0.04909223099654175
592, RICARDO MARTINEZ VALENCIA,PH/PI,PH,14,4029,0.006991114049380274
593, GUSTAVO ENRIQUE GONZALEZ ARAYA,PH/PI,PH,14,2580,0.0044768116771906445
594, ABRAHAM MUÑOZ VILCHES,PH/PI,PH,14,2167,0.003760174769175243
595, JASMIN LIZETTE DONOSO ROMERO,PH/PI,PH,14,6542,0.011351667438829921
596, DINA LUISA FIGUEROA MARDONES,PH/PI,PH,14,3167,0.005495373093667741
597, FELIPE ALEXANDER PINO CASTILLO,PH/PI,PH,14,3207,0.005564781026647441
598, FRANCISCO VALDES REYES,PH/PI,PH,14,5492,0.009529709198112798
599, TAMARA FREDES GUTIERREZ,PAVP,PAVP,14,4252,0.007378063275742101
600, KEIN SOTO LAMA,PAVP,PAVP,14,3295,0.0057174784792027806
601, SERGIO MILLALEN HIMILAF,PAVP,PAVP,14,1606,0.0027867285091349517
602, ANDRES SANCHEZ FREDES,PDG,PDG,14,24919,0.043239407048028554
603, LETICIA DEL CARMEN ZUÑIGA SILVA,PDG,PDG,14,10930,0.018965717686703
604, CINDY MACIAS TOLEDO,PDG,PDG,14,11451,0.019869756013763593
605, JUAN ANSELMO MELO RAMIREZ,PDG,PDG,14,6933,0.012030129983706488
606, SERGIO ANTONIO PALMA BRIONES,PDG,PDG,14,4959,0.008604848491158296
607, ROGELIO ALFREDO URBINA LEAL,PDG,PDG,14,2820,0.004893259275068844
608, JORGE ANDRES MEZA INFANTE,PDG,PDG,14,6797,0.011794143011575508
609, JAIME COLOMA ALAMOS,CHILEVAMOS,UDI,14,46157,0.08009154906360022
610, CHRISTIAN GOMEZ DIAZ,CHILEVAMOS,UDI,14,5911,0.010256757296075156
611, CLAUDIA CASTRO GUTIERREZ,CHILEVAMOS,UDI,14,4147,0.0071958674516703885
612, ALEJANDRA NOVOA SANDOVAL,CHILEVAMOS,RN,14,11748,0.020385109916137865
613, PABLO MIRA HURTADO,CHILEVAMOS,RN,14,13085,0.022705070075984334
614, PABLO HERRERA ROGERS,CHILEVAMOS,RN,14,15247,0.026456568853537116
615, TRINIDAD BIGGS MONTANER,CHILEVAMOS,EVOPOLI,14,2006,0.0034808078389319506
616, JUAN IRARRAZAVAL ROSSEL,REP/PNL/PSC,REPUBLICAN,14,42827,0.07431333864304021
617, DIEGO VERGARA RODRIGUEZ,REP/PNL/PSC,REPUBLICAN,14,45503,0.07895672935938212
618, ANNEMARIE MULLER DURING,REP/PNL/PSC,REPUBLICAN,14,11752,0.020392050709435835
619, JUAN MOLINA ROMO,REP/PNL/PSC,PSC,14,6793,0.011787202218277539
620, CARLOS BARBERIS AVENDAÑO,REP/PNL/PSC,PSC,14,4999,0.008674256424137997
621, CLAUDIA ORMEÑO URRA,REP/PNL/PSC,PNL,14,21799,0.037825588275611964
622, JOSEFINA DIEGUEZ RUSSELL,REP/PNL/PSC,PNL,14,8683,0.01506672705156836
623, NICOLAS SALGADO AHUMADA,FREVS/AH,AH,15,4771,0.013891962403475466
624, CLAUDIO SEGOVIA COFRE,FREVS/AH,AH,15,11382,0.03314154602313095
625, FRANKLIN ESTEBAN GALLARDO GALLARDO,FREVS/AH,AH,15,1490,0.004338508484841426
626, HUGO BOZA VALDENEGRO,FREVS/AH,FREVS,15,6982,0.020329843114874388
627, MARTA GONZALEZ OLEA,FREVS/AH,FREVS,15,4098,0.011932354208644405
628, HUGO GUZMAN MILLAN,FREVS/AH,FREVS,15,1855,0.005401297476094527
629, RAUL SOTO MARDONES,UNIDAD,PPD,15,64377,0.1874497723010983
630, FERNANDO ZAMORANO PERALTA,UNIDAD,PPD,15,4599,0.013391141289789073
631, RAISA MARTINEZ MUÑOZ,UNIDAD,PCCH,15,8464,0.024645057594428074
632, VALENTINA CACERES MONSALVEZ,UNIDAD,FA,15,25746,0.07496593251726669
633, CAROLINA HERRERA CONTRERAS,UNIDAD,PS,15,19084,0.05556784961390186
634, MARCELA RIQUELME ALIAGA,UNIDAD,PR,15,3662,0.01066283092046262
635, CAROL AROS SEGUEL,AMARILLOS,AMARILLOS,15,2170,0.006318498934299258
636, ALEJANDRO VALDIVIA LATORRE,AMARILLOS,AMARILLOS,15,1886,0.005491561746584516
637, MAURICIO MELLA VASQUEZ,AMARILLOS,AMARILLOS,15,1898,0.005526502754516125
638, PABLO VASQUEZ PAVEZ,AMARILLOS,AMARILLOS,15,1099,0.0032000139764031725
639, ALEX BECERRA ESPINOZA,AMARILLOS,AMARILLOS,15,759,0.0022100187516742565
640, PAZ SUAREZ BRIONES,AMARILLOS,AMARILLOS,15,819,0.0023847237913323005
641, DAMARIE MOYANO MADRID,PAVP,PAVP,15,1898,0.005526502754516125
642, LUIS ANTONIO DOTE ORELLANA,PAVP,PAVP,15,1802,0.005246974691063255
643, RICARDO LISBOA HENRIQUEZ,PAVP,PAVP,15,1197,0.0034853655411779777
644, KATHERINE ALEJANDRA TOLEDO GUERRA,PAVP,PAVP,15,1336,0.0038900988830524465
645, JUDITH MERCEDES CORNEJO TOLEDO,PAVP,PAVP,15,621,0.0018081971604607555
646, PEDRO GUBERNATTI TORO,PDG,PDG,15,15845,0.04613668922302845
647, MARCELA NARVAEZ ZAPATA,PDG,PDG,15,6671,0.019424288659313525
648, JOSE MIGUEL LATORRE LUDUEÑA,PDG,PDG,15,5175,0.015068309670506295
649, CARLA EUGENIA RUBIO CARRASCO,PDG,PDG,15,3771,0.010980211742508066
650, LUISA ELENA CACERES MIRANDA,PDG,PDG,15,1806,0.0052586216937071245
651, RODRIGO PEÑAILILLO VALENZUELA,PDG,PDG,15,2203,0.0064145867061111824
652, PATRICIO LAGUNA GEBAUER,CHILEVAMOS,DEMOCRATAS,15,7111,0.020705458950139182
653, LENNIN ARROYO VEGA,CHILEVAMOS,DEMOCRATAS,15,8342,0.02428982401379005
654, EMILIANO ORUETA BUSTOS,CHILEVAMOS,RN,15,10487,0.030535529181565123
655, JUAN DE DIOS VALDIVIESO TAGLE,CHILEVAMOS,RN,15,8666,0.02523323122794349
656, PIA MARGARIT BAHAMONDE,CHILEVAMOS,UDI,15,5226,0.015216808954215632
657, NATALIA ROMERO TALGUIA,CHILEVAMOS,UDI,15,34258,0.09975075414342119
658, PATRICIO ARENAS ROMAN,REP/PNL/PSC,PSC,15,5032,0.014651929325987956
659, PAULA MUÑOZ CARRASCO,REP/PNL/PSC,PSC,15,3348,0.009748541212918856
660, FERNANDO UGARTE TEJEDA,REP/PNL/PSC,REPUBLICAN,15,28533,0.08308098160938282
661, EMILIANO GARCIA BOBADILLA,REP/PNL/PSC,REPUBLICAN,15,8637,0.025148790458775435
662, CHRISTIAN VARGAS PAREDES,REP/PNL/PSC,PNL,15,10276,0.029921149792101004
663, JAVIERA MORENO CERPA,REP/PNL/PSC,PNL,15,6054,0.01762773850149664
664, ANTONIO CARVACHO CARDENAS,FREVS/AH,FREVS,16,12713,0.04964658101300426
665, CRISTIAN DIAZ CORREA,FREVS/AH,FREVS,16,8035,0.031378138790174565
666, JAIME GONZALEZ RAMIREZ,FREVS/AH,FREVS,16,7766,0.030327644784629203
667, MARIA CAROLINA MIRANDA CAMPOS,FREVS/AH,FREVS,16,3812,0.014886554457765456
668, PAMELA NAVARRO LEPPE,FREVS/AH,AH,16,3014,0.011770219080720115
669, FELIX BUGUEÑO SOTELO,UNIDAD,FA,16,20172,0.07877533486937166
670, FLORENIA CARVAJAL CID,UNIDAD,PPD,16,4200,0.01640176514234389
671, CAROLINA CUCUMIDES CALDERON,UNIDAD,PS,16,22655,0.0884719022142383
672, GLORIA PAREDES VALDES,UNIDAD,PDC,16,16083,0.06280704494864685
673, COSME MELLADO PINO,UNIDAD,PR,16,17368,0.06782520404576874
674, SUSAN EVELYN GOMEZ PARDO,PDG,PDG,16,8224,0.032116218221580034
675, JOSE ANTONIO CARVALLO CASTRO,PDG,PDG,16,7850,0.03065568008747608
676, DANIELA DENISSE GAETE CORNEJO,PDG,PDG,16,6193,0.02418479322060374
677, HECTOR ANDRES SANCHEZ MORENO,PDG,PDG,16,4175,0.016304135587925178
678, RODRIGO ANDRES MALDONADO BECERRA,PDG,PDG,16,2260,0.008825711719451712
679, CARLA MORALES MALDONADO,CHILEVAMOS,RN,16,21829,0.085246221736244
680, HUMBERTO GARCIA DIAZ,CHILEVAMOS,RN,16,3652,0.014261725309485688
681, IGNACIO MORI PEREZ,CHILEVAMOS,EVOPOLI,16,2992,0.011684305072831648
682, RICARDO NEUMANN BERTIN,CHILEVAMOS,UDI,16,31245,0.1220174171125083
683, EDUARDO CORNEJO LAGOS,CHILEVAMOS,UDI,16,10494,0.04098098176279923
684, SEBASTIAN CRISTOFFANINI JARAQUEMADA,REP/PNL/PSC,REPUBLICAN,16,17347,0.06774319522005702
685, MARIA DEL PILAR ZUÑIGA ZAMORANO,REP/PNL/PSC,REPUBLICAN,16,12477,0.0487249580192916
686, LUIS BUSTAMANTE MORAGA,REP/PNL/PSC,PNL,16,9934,0.03879407974382005
687, FRANCISCO AVARIA MARRACCINI,REP/PNL/PSC,PSC,16,1580,0.006170187839262702
688, JOSE EDUARDO GONZALEZ GAETE,FREVS/AH,FREVS,17,5678,0.012482330621280638
689, MARISOL PEREZ SAAVEDRA,FREVS/AH,FREVS,17,2740,0.006023526928902597
690, ELIA PIEDRAS GARRIDO,FREVS/AH,FREVS,17,2388,0.00524970157161292
691, CLAUDIA MORALES COURTIN,FREVS/AH,AH,17,3857,0.00847910341780194
692, JOSE IGNACIO AVELLO ORTIZ,FREVS/AH,AH,17,2584,0.005680581600103763
693, SANDRA PATRICIA SANCHEZ AGUILAR,FREVS/AH,AH,17,2290,0.005034261557367499
694, JOSE NUÑEZ HERRERA,FREVS/AH,AH,17,2551,0.005608035472857856
695, ROBERTO CELEDON FERNANDEZ,UNIDAD,FA,17,43878,0.09645996882714895
696, NATALY ROJAS SEGUEL,UNIDAD,FA,17,6620,0.014553192799027443
697, PRISCILLA CASTILLO GERLI,UNIDAD,PDC,17,46849,0.10299131864677291
698, JAVIER MUÑOZ RIQUELME,UNIDAD,PDC,17,34294,0.07539081478094367
699, BORIS DURAN REYES,UNIDAD,PS,17,10107,0.0222189002446783
700, GABRIEL ROJAS ROJAS,UNIDAD,PS,17,9685,0.02129118916292761
701, ANA MUÑOZ MUÑOZ,UNIDAD,PR,17,3720,0.00817792707135681
702, PABLO DEL RIO JIMENEZ,UNIDAD,PR,17,21927,0.048203604003666876
703, GUILLERMO VICTORIANO VALDES CARMONA,PDG,PDG,17,12315,0.027072895667677184
704, VIVIANA DE LAS MERCEDES RODRIGUEZ SAAVEDRA,PDG,PDG,17,7552,0.016602071301851245
705, NICOLAS ENRIQUE GARCIA ESPINOZA,PDG,PDG,17,5843,0.012845061257510173
706, EDUARDO ALEXANDER OTEIZA VASQUEZ,PDG,PDG,17,5586,0.012280080811989016
707, ROSA IRENE BRAVO HERRERA,PDG,PDG,17,3856,0.00847690505030964
708, LORENA ALEJANDRA BALLADARES CHAMORRO,PDG,PDG,17,4956,0.01089510929183988
709, DANIELA FRANCISCA DIAZ GOMEZ,PDG,PDG,17,3612,0.007940503382188387
710, JAVIER MORALES MORALES,PDG,PDG,17,4305,0.009463972054352439
711, JORGE GUZMAN ZEPEDA,CHILEVAMOS,EVOPOLI,17,36407,0.08003596529217404
712, CLAUDIA URRUTIA MARQUEZ,CHILEVAMOS,EVOPOLI,17,10365,0.02278607905769176
713, ARIEL AMIGO VIDAL,CHILEVAMOS,RN,17,9964,0.021904533693279372
714, BALDEMAR HIGUERAS VIVAR,CHILEVAMOS,RN,17,3434,0.007549193968558948
715, ISABEL UBAL FAUNDEZ,CHILEVAMOS,DEMOCRATAS,17,3157,0.006940246173191788
716, CAROLINA TORRES PIRAZZOLI,CHILEVAMOS,UDI,17,10533,0.023155404796398195
717, FELIPE DONOSO CASTRO,CHILEVAMOS,UDI,17,21715,0.04773755009529923
718, BENJAMIN MORENO BASCUR,REP/PNL/PSC,REPUBLICAN,17,33754,0.07420369633510156
719, GREIS PARADA ROJAS,REP/PNL/PSC,REPUBLICAN,17,8173,0.01796725751456968
720, BERNARDO FONTAINE MONTERO,REP/PNL/PSC,REPUBLICAN,17,17646,0.038792392769129644
721, MARIO CARAVES HECK,REP/PNL/PSC,PNL,17,9700,0.021324164675312115
722, GERMAN VERDUGO SOTO,REP/PNL/PSC,PNL,17,20956,0.04606898916864337
723, PATRICIO LINEROS GONZALEZ,REP/PNL/PSC,PSC,17,5046,0.011092962366146899
724, BERNARDO VASQUEZ BOBADILLA,REP/PNL/PSC,PSC,17,12562,0.027615892438275336
725, FERNANDA AGUIRRE TORRES,REP/PNL/PSC,PSC,17,4278,0.009404616132060332
726, RODRIGO BRAVO BUSTOS,FREVS/AH,AH,18,3982,0.016682866335969968
727, PAULINA ALVAREZ RODRIGUEZ,FREVS/AH,AH,18,4402,0.018442485587880413
728, EDWARD ROBINSON FLORES Y CASTILLO,FREVS/AH,AH,18,2384,0.009987934039415471
729, DAPHNE SALDAÑA SAN MARTIN,FREVS/AH,FREVS,18,1563,0.006548297358895294
730, ANGELA SELMIRA VELIZ GONZALEZ,FREVS/AH,FREVS,18,1359,0.005693625150824507
731, CONSUELO VELOSO AVILA,UNIDAD,PR,18,35583,0.14907745676364123
732, LUCIA GONZALEZ GAETE,UNIDAD,PDC,18,2688,0.01126156321222684
733, RODRIGO HERMOSILLA GATICA,UNIDAD,PS,18,20304,0.08506502212092774
734, MONICA MUÑOZ GUAJARDO,UNIDAD,PPD,18,3282,0.013750167582785897
735, KARINA CARTAGENA BASTIAS,UNIDAD,FA,18,3144,0.013172006971443894
736, RUBEN IGNACIO MARTINEZ NUÑEZ,PDG,PDG,18,7369,0.030872938731733475
737, DANIELA DEL PILAR OLGUIN ANDRADE,PDG,PDG,18,6944,0.029092371631586005
738, CARLOS ANTONIO BASCUÑAN TAPIA,PDG,PDG,18,3680,0.015417616302453412
739, CAROLINA ALEJANDRA MORALES ORTEGA,PDG,PDG,18,4271,0.01789365196407025
740, RODRIGO REIMUNDO VERGARA VALDES,PDG,PDG,18,1669,0.006992391741520311
741, GUSTAVO BENAVENTE VERGARA,CHILEVAMOS,UDI,18,10884,0.045599276042364925
742, PAULA RETAMAL URRUTIA,CHILEVAMOS,UDI,18,8946,0.03747989006569245
743, GLADYS GONZALEZ ALVAREZ,CHILEVAMOS,DEMOCRATAS,18,5235,0.02193239710416946
744, RODRIGO RAMIREZ PARRA,CHILEVAMOS,RN,18,19175,0.08033499798900656
745, MACARENA SAN MARTIN FREIRE,CHILEVAMOS,RN,18,16457,0.06894774768735755
746, GENESIS VELOSO LOBOS,REP/PNL/PSC,PSC,18,9625,0.040324607856281
747, CRISTOBAL GARCIA OGAZ,REP/PNL/PSC,REPUBLICAN,18,13153,0.05510540957232873
748, DANIEL BUSTOS LEAL,REP/PNL/PSC,REPUBLICAN,18,13475,0.056454450998793405
749, CRISTIAN MENCHACA PINOCHET,REP/PNL/PSC,REPUBLICAN,18,32102,0.1344935648210216
750, JOAQUIN MORALES GOMEZ,REP/PNL/PSC,PNL,18,7012,0.0293772623676096
751, FELIPE AYLWIN LAGOS,PEV,PEV,19,5472,0.016593081364320025
752, GRACIELA HUENUMAN LINCOPI,PEV,PEV,19,1235,0.0037449662801416718
753, PATRICIO ANTONIO PALMA MOLINA,PEV,PEV,19,1101,0.0033386298578428992
754, ELIANA SANHUEZA ORTIZ,PEV,PEV,19,1096,0.0033234680510407064
755, CAROLINA MONSALVES SANHUEZA,PEV,PEV,19,1233,0.0037389015574207946
756, JUAN MANUEL RIVAS GARRIDO,PEV,PEV,19,927,0.002810998981126583
757, WILSON OLIVARES BUSTAMANTE,FREVS/AH,FREVS,19,4781,0.01449771966425695
758, MARIA ROMERO PEÑA,FREVS/AH,FREVS,19,698,0.0021165882295861435
759, CATALINA MEDINA RIVAS,FREVS/AH,FREVS,19,1194,0.003620639464363689
760, FANNY ARAYA BAHAMONDE,FREVS/AH,FREVS,19,644,0.0019528407161224588
761, PATRICIA TORRES ASTETE,FREVS/AH,FREVS,19,750,0.0022742710203289503
762, FELIPE CAMAÑO CARDENAS,UNIDAD,PDC,19,38559,0.116924821697152
763, ERICK SOLO DE ZALDIVAR GARAY,UNIDAD,FA,19,11686,0.035436174858085485
764, JOSEFA JAVIERA DEL PILAR BALMACEDA VASQUEZ,UNIDAD,PL,19,2222,0.006737906942894571
765, CESAR RIQUELME ALARCON,UNIDAD,PR,19,9487,0.028768012226481007
766, FRANCISCO CRISOSTOMO LLANOS,UNIDAD,PS,19,15651,0.04745948765222454
767, SCARLET HIDALGO JARA,UNIDAD,PPD,19,3085,0.009354834796953083
768, CESAR URIBE ARAYA,PH/PI,IGUALDAD,19,8694,0.026363349667653194
769, EDUARDO SAVATTINI NUÑEZ,PH/PI,IGUALDAD,19,2603,0.007893236621221678
770, SUSANA YAÑEZ BALAGUE,PH/PI,IGUALDAD,19,2289,0.006941075154043957
771, VALENTINA IBARRA MOYA,PH/PI,IGUALDAD,19,1575,0.004775969142690796
772, JAMES MERY BELL,PH/PI,IGUALDAD,19,708,0.002146911843190529
773, PATRICIO SAN MARTIN SOLIS,PH/PI,IGUALDAD,19,1196,0.0036267041870845663
774, REINALDO HENRY FIGUEROA ALARCON,AMARILLOS,AMARILLOS,19,2244,0.00680461889282422
775, OSVALDO ANTONIO CARO CARO,AMARILLOS,AMARILLOS,19,1987,0.0060253020231915
776, RODRIGO ANDRES CASTRO GALAZ,AMARILLOS,AMARILLOS,19,1671,0.005067075833292902
777, CECILIA VICTORIA ROXANA JACQUELINE ORTIZ VERA,AMARILLOS,AMARILLOS,19,876,0.0026563485517442143
778, SERGIO HERMAN CONTRERAS NAVARRO,AMARILLOS,AMARILLOS,19,467,0.0014161127553248265
779, HERNAN ALVAREZ ROMAN,AMARILLOS,AMARILLOS,19,931,0.0028231284265683373
780, JULIA LETICIA ZAPPETTINI VASQUEZ,PAVP,PAVP,19,2038,0.006179952452573868
781, RICARDO RODRIGUEZ RIVAS,PAVP,PAVP,19,2014,0.006107175779923342
782, OSCAR MIGUEL MONTECINOS GARCIA,PAVP,PAVP,19,807,0.002447115617873951
783, DANIEL GODOY LAGOS,PDG,PDG,19,8663,0.0262693464654796
784, JENIFFER CAROLINA SALAZAR ZUÑIGA,PDG,PDG,19,7916,0.024004172529231965
785, HECTOR GUZMAN VASQUEZ,PDG,PDG,19,4645,0.0140853185192373
786, IGNACIO LUENGO QUIJADA,PDG,PDG,19,1550,0.004700160108679831
787, MARIELA ESPINOZA NAVARRETE,PDG,PDG,19,1877,0.005691742273543254
788, CLIFF HENRIQUEZ RETAMAL,PDG,PDG,19,1710,0.005185337926350007
789, CRISTOBAL MARTINEZ RAMIREZ,CHILEVAMOS,UDI,19,24506,0.07431104749890835
790, MARTA BRAVO SALINAS,CHILEVAMOS,UDI,19,18999,0.05761183348697298
791, FRANK SAUERBAUM MUÑOZ,CHILEVAMOS,RN,19,20790,0.0630427926835185
792, CARLOS CHANDIA ALARCON,CHILEVAMOS,RN,19,22818,0.06919242152248799
793, PATRICIO CAAMAÑO VIVEROS,CHILEVAMOS,DEMOCRATAS,19,2850,0.008642229877250012
794, JORGE SABAG VILLALOBOS,CHILEVAMOS,DEMOCRATAS,19,20366,0.06175707146669254
795, SARA CONCHA SMITH,REP/PNL/PSC,PSC,19,18556,0.05626849740429868
796, ERICK JIMENEZ GARAY,REP/PNL/PSC,PSC,19,3538,0.01072849449323177
797, ALEJANDRA OSORIO CORTES,REP/PNL/PSC,PSC,19,3150,0.009551938285381593
798, MAGDALENA OYARCE SEPULVEDA,REP/PNL/PSC,REPUBLICAN,19,7046,0.02136601814565038
799, DIEGO SEPULVEDA PALMA,REP/PNL/PSC,REPUBLICAN,19,17203,0.05216571248362525
800, FREDDY BLANC SPERBERG,REP/PNL/PSC,PNL,19,13672,0.04145844451991655
801, FELIX GONZALEZ GATICA,PEV,PEV,20,25421,0.043303840637233026
802, ELIZABETH MUJICA ZEPEDA,PEV,PEV,20,2172,0.003699930839230169
803, HERNAN PINO SEGUEL,PEV,PEV,20,3005,0.005118919047829953
804, ATRIX BADILLA HERNANDEZ,PEV,PEV,20,1342,0.002286053032342029
805, FELIPE ARANCIBIA LABRAÑA,PEV,PEV,20,1524,0.002596084069515091
806, PAULA OLIMPIA VALDEBENITO CHAVEZ,PEV,PEV,20,2201,0.0037493313891093934
807, JAVIER MUÑOZ CAUCHUPAN,PEV,PEV,20,2265,0.0038583532922911294
808, MARISOL VIDAL FRIZ,PEV,PEV,20,1358,0.002313308508137463
809, MANUEL JARA BAO,PEV,PEV,20,889,0.0015143823738838031
810, ANA ALBORNOZ CUEVAS,FREVS/AH,FREVS,20,17783,0.030292757879387705
811, ELSA OLAVE SOTO,FREVS/AH,FREVS,20,998,0.0017000603027401975
812, ROMINA TOLEDO QUEVEDO,FREVS/AH,FREVS,20,1565,0.002665926226240891
813, MARIO GONZALEZ FIGUEROA,FREVS/AH,FREVS,20,1154,0.0019658011917456793
814, ALEJANDRO NAVARRO BRAIN,FREVS/AH,FREVS,20,11134,0.018966404219147654
815, GUSTAVO SOTOMAYOR OLATE,FREVS/AH,FREVS,20,2725,0.004641948221409857
816, FELIPE ROMERO PEDREROS,FREVS/AH,FREVS,20,3262,0.005556710127794112
817, JORGE AGUAYO CERRO,FREVS/AH,FREVS,20,1600,0.0027255475795434025
818, MARIA CANDELARIA ACEVEDO SAEZ,UNIDAD,PCCH,20,13486,0.022972959161076455
819, EDUARDO BARRA JOFRE,UNIDAD,PCCH,20,12845,0.021881036662021878
820, ALICIA YAÑEZ SOTO,UNIDAD,PPD,20,9139,0.015567987080904473
821, CAROLINA BEATRIZ MARTINEZ EBNER,UNIDAD,PL,20,2181,0.0037152620443651006
822, DANIELA DRESDNER VICENCIO,UNIDAD,FA,20,12091,0.020596622365162052
823, MACARENA FLORES MONTOYA,UNIDAD,PR,20,1871,0.0031871872008285666
824, ANTONIO RIVAS VILLALOBOS,UNIDAD,PS,20,27175,0.04629172217130748
825, ALVARO ORTIZ VERA,UNIDAD,PDC,20,41837,0.07126795880334834
826, ERIC AEDO JELDRES,UNIDAD,PDC,20,7480,0.012741934934365408
827, JAVIER SANDOVAL OJEDA,PH/PI,IGUALDAD,20,9482,0.01615227634326909
828, CAMILA ARRIAGADA GONZALEZ,PH/PI,IGUALDAD,20,5154,0.008779670140604186
829, XIMENA MUÑOZ VALLEJOS,PH/PI,IGUALDAD,20,2840,0.0048378469536895395
830, ELIANA QUEVEDO HERNANDEZ,PH/PI,IGUALDAD,20,2502,0.004262075027510996
831, MAURICIO SANDOVAL SALAZAR,PH/PI,IGUALDAD,20,3268,0.0055669309312173995
832, ANGELICA ALVAREZ RODRIGUEZ,PH/PI,IGUALDAD,20,1226,0.002088450832825132
833, MELISSA SANTIBAÑEZ MANCILLA,PH/PI,IGUALDAD,20,995,0.0016949499010285535
834, JAVIER DEL RIO RICHTER,PH/PI,IGUALDAD,20,6883,0.011724964993748276
835, PATRICIO ANTONIO BRIONES MOLLER,PDG,PDG,20,18160,0.03093496502781762
836, CAROLINA ANDREA VENEGAS ARANDA,PDG,PDG,20,14026,0.023892831469172354
837, HUGO ANTONIO SOTO BECERRA,PDG,PDG,20,4691,0.007990964809773814
838, MARIELLA ANDREA GONZALEZ HIDALGO,PDG,PDG,20,5453,0.009289006844531359
839, LUIS ZUÑIGA MONTT,PDG,PDG,20,3792,0.006459547763517864
840, MARCELA ANDREA GONZALEZ ZARATE,PDG,PDG,20,4574,0.007791659143019702
841, BERNARDO ORLANDO ULLOA PEREIRA,PDG,PDG,20,14593,0.024858697392673046
842, FRANCISCA MARIANA ZENTENO ARAOS,PDG,PDG,20,9498,0.016179531819064525
843, JULIETTE CRISTINA VILLALOBOS CARES,PDG,PDG,20,3674,0.006258538629526539
844, SERGIO BOBADILLA MUÑOZ,CHILEVAMOS,UDI,20,19213,0.032728716028604624
845, MARLENE PEREZ CARTES,CHILEVAMOS,UDI,20,26600,0.04531222850990907
846, HENRY CAMPOS COA,CHILEVAMOS,UDI,20,14177,0.024150055021991763
847, LUCIANO SILVA MORA,CHILEVAMOS,RN,20,8577,0.014610638493589853
848, ROBERT CONTRERAS REYES,CHILEVAMOS,RN,20,5688,0.009689321645276796
849, MIRTHA ENCINA OVALLE,CHILEVAMOS,RN,20,1773,0.003020247411581533
850, VICTOR HUGO FIGUEROA REBOLLEDO,CHILEVAMOS,DEMOCRATAS,20,13171,0.022436366981353848
851, ANDREA DE LA BARRA MANRIQUEZ,CHILEVAMOS,DEMOCRATAS,20,1721,0.0029316671152463726
852, ANA ARANEDA GOMEZ,CHILEVAMOS,DEMOCRATAS,20,7626,0.012990641150998742
853, FRANCESCA MUÑOZ GONZALEZ,REP/PNL/PSC,PSC,20,53997,0.09198212040787819
854, ROBERTO ARROYO MUÑOZ,REP/PNL/PSC,PSC,20,7892,0.013443763436097834
855, ANTARIS VARELA COMPAGNON,REP/PNL/PSC,PSC,20,2560,0.004360876127269445
856, JESSICA FLORES REYES,REP/PNL/PSC,PSC,20,4620,0.007870018635931576
857, GABRIEL TORRES HERMOSILLA,REP/PNL/PSC,PSC,20,5067,0.008631468490966514
858, REINALDO GONZALEZ MARIANGEL,REP/PNL/PSC,PNL,20,12680,0.021599964567881467
859, JIMENA FIGUEROA NEGRON,REP/PNL/PSC,PNL,20,7512,0.012796445885956275
860, JAMES ARGO CHAVEZ,REP/PNL/PSC,REPUBLICAN,20,15313,0.026085193803467577
861, PAZ CHARPENTIER RAJCEVICH,REP/PNL/PSC,REPUBLICAN,20,44943,0.07655892804213696
862, SAUL GONZALEZ CACERES,112 SAUL GONZALEZ CACERES,IND,20,14594,0.024860400859910262
863, ALEXIS ZUÑIGA JELVEZ,PEV,PEV,21,4319,0.011065705025556937
864, JOHANNA BARRA ASTUDILLO,PEV,PEV,21,3729,0.009554066691433622
865, PEDRO PABLO VALENZUELA CASTRO,PEV,PEV,21,2122,0.005436773805101139
866, BARBARA LEPEZ MONSALVEZ,PEV,PEV,21,2562,0.006564097308515136
867, RICARDO FLORES PAREDES,PEV,PEV,21,1975,0.005060145271006008
868, LUIS ISLAS COFRE,FREVS/AH,FREVS,21,3627,0.009292732606551286
869, RODRIGO REINOSO CENDOYA,FREVS/AH,FREVS,21,1044,0.0026748312217368467
870, JOAQUIN SANHUEZA VILLAMAN,FREVS/AH,FREVS,21,7303,0.01871100805780095
871, JORGE RIVAS FIGUEROA,FREVS/AH,FREVS,21,9281,0.023778839625421145
872, CLARA SAGARDIA CABEZAS,UNIDAD,FA,21,10534,0.02698914951127964
873, ADOLFO MILLABUR ÑANCUIL,UNIDAD,FA,21,21564,0.05524910006277142
874, LORENA PEREZ LARENAS,UNIDAD,PR,21,9312,0.023858264690434405
875, ANWAR  FARRAN VELOSO,UNIDAD,PR,21,12353,0.03164960735834796
876, PATRICIO PINILLA VALENCIA,UNIDAD,PDC,21,20035,0.051331650888407784
877, KAREN MEDINA VASQUEZ,UNIDAD,PDC,21,13633,0.03492909391373413
878, CARLA BELEN BURGOS ESCOBAR,PH/PI,IGUALDAD,21,11583,0.029676791227373465
879, LILIAN ALEJANDRA BETANCURT DELGADO,PDG,PDG,21,14469,0.03707100857022073
880, CARLOS ALBERTO PEÑA OPAZO,PDG,PDG,21,10358,0.02653822010991404
